sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,watch, again,We say 'watch' again,coda manner (fricatives vs affricates),disyllabic,disyllabic,disyllabic,stress,0,82,82,83,right,2.18170809746,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,cheap, again,We say 'cheap' again,onset manner (fricatives vs affricates),ch,iy,p,onset,0,83,83,36,right,1.8662250042,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,fuzz, again,We say 'fuzz' again,coda voicing (fricatives),f,ah,z,coda,0,84,84,64,right,1.96941518784,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,witch, again,We say 'witch' again,coda manner (fricatives vs affricates),w,ih,ch,coda,0,85,85,81,right,1.90340805054,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,joke, again,We say 'joke' again,onset voicing (affricates),jh,ow,k,onset,0,86,86,35,right,1.93503093719,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,maze, again,We say 'maze' again,coda voicing (fricatives),m,ey,z,coda,0,87,87,66,right,2.30023002625,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,pig, again,We say 'pig' again,coda voicing (stops),p,ih,g,coda,0,88,88,62,right,2.16585612297,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,ship, again,We say 'ship' again,onset manner (fricatives vs affricates),sh,ih,p,onset,0,89,89,41,right,1.81447601318,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,ridge, again,We say 'ridge' again,coda voicing (affricates),r,ih,jh,coda,0,90,90,72,right,1.9356238842,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,tick, again,We say 'tick' again,"onset manner (stops vs. fric, voiceless)",t,ih,k,onset,0,91,91,22,right,1.79674506187,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,pick, again,We say 'pick' again,coda voicing (stops),p,ih,k,coda,0,92,92,63,right,1.93429088593,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,cab, again,We say 'cab' again,coda voicing (stops),k,aa,b,coda,0,93,93,58,right,2.08497810364,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
